Designator,Footprint,Quantity,Value,LCSC Part #
BT1_2,MY-AA-04_Silkscreen_Only,1,Battery,C2979179
BT1,MY-AA-04_BT1A,1,~,C2979179
BT2,MY-AA-04_BT1B,1,~,C2979179
C1,0805,1,22uF,C45783
"C2, C6",0805,2,100nF,C49678
C3,0805,1,10uF,C15850
C4,0805,1,1uF,C28323
C5,0805,1,4.7uF,C1779
C7,1206,1,100uF,C15008
D1,LED_MB14940_VIS,1,VSMY14940,C511069
"D10, D11, D12, D5, D6, D7, D8, D9",D_SMD5050-4P_XL-5050RGBC-2812B,8,2812B,C2843785
"D13, D4",0805,2,Green,C2297
"D2, D3",0805,2,Yellow,C2296
F1,1206,1,Fuse,C261957
J2,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0,C2988369
J4,PinSocket_1x08_P2.54mm_Vertical,1,DISPLAY,C42431840
J5,PinHeader_1x03_P2.54mm_Horizontal,1,Conn_01x03_Socket,C492411
"R1, R10",0805,2,10k,C17414
"R2, R3",0805,2,5.1K,C27834
"R4, R6",0805,2,100,C17408
"R5, R8, R9",0805,3,1K,C17513
R7,0805,1,2K,C17604
"SW1, SW2",SW_Push_1P1T_XKB_TS-1187A,2,SW_Push,C318884
"SW3, SW4, SW6, SW7",SW-SMD_4P-L4.5-W4.5-P3.00-LS6.8,4,SW_Push,C2888900
SW5,SW_SPDT_PCM12,1,POWER,C431541
U1,SOT-23-6,1,USBLC6-2SC6,C2827654
U2,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,C2913201
U3,TSOP382,1,TSOP38238,C141632
U4,TSOT-23-5,1,ME4054BM5G-N,C478383
U5,TLV1117LV,1,TLV1117LV-33,C15578
